a5dbc1b675c18ee196f89606a45eee9ff61f5a14
0.17,-1.08,-5.04
0.09,-1.08,-5.04
-0.13,-1.08,-5.04
0.16,-1.07,-5.05
0.03,-1.18,-5.04
-0.07,-1.11,-5.00
0.17,-1.10,-4.98
-0.06,-1.18,-5.09
0.51,-1.13,-5.06
0.36,-1.04,-5.10
0.17,-1.18,-5.10
0.43,-1.12,-5.05
0.18,-1.14,-5.12
0.92,-1.00,-5.15
0.35,-1.08,-5.03
-0.26,-1.16,-4.99
0.54,-0.98,-5.11
-0.49,-1.15,-5.04
0.11,-1.04,-5.04
0.13,-1.08,-5.04
0.70,-1.13,-4.99
0.24,-1.18,-5.17
0.50,-1.32,-4.98
0.23,-1.05,-4.89
0.29,-1.27,-4.97
1.52,-1.50,-4.84
0.75,-1.05,-5.15
0.02,-1.15,-5.09
1.38,-1.02,-5.03
0.57,-1.33,-5.02
1.19,-1.01,-5.08
0.17,-1.26,-5.05
-0.35,-1.09,-5.06
-0.99,-0.96,-5.05
0.31,-1.13,-5.01
-1.10,-0.98,-4.97
0.09,-1.20,-5.02
0.08,-1.01,-5.10
0.43,-1.19,-4.97
0.16,-1.06,-5.04
0.79,-1.07,-5.04
0.60,-1.11,-5.16
0.42,-1.13,-5.03
-0.02,-1.13,-4.98
0.30,-1.12,-5.01
-0.14,-1.09,-5.01
0.09,-1.03,-5.05
-0.41,-1.09,-5.00
0.07,-1.06,-5.05
0.74,-1.00,-5.14
-0.29,-1.08,-4.93
0.77,-0.98,-5.11
0.19,-1.03,-5.02
0.27,-1.03,-5.06
0.22,-1.04,-5.06
0.17,-1.03,-5.04
0.19,-1.05,-5.04
0.16,-1.06,-5.04
0.41,-1.06,-5.04
1.15,-1.15,-4.99
0.59,-1.14,-5.04
0.52,-0.91,-5.02
0.52,-0.96,-5.12
0.06,-1.24,-5.07
0.13,-1.30,-5.04
0.44,-1.07,-4.99
0.16,-1.04,-5.03
0.48,-1.08,-5.03
0.17,-1.31,-4.99
0.30,-1.07,-5.06
0.33,-1.02,-5.00
-0.13,-1.01,-5.10
0.28,-1.10,-5.00
0.10,-1.13,-5.06
0.13,-1.06,-4.96
0.29,-1.08,-5.09
0.31,-0.99,-4.98
0.47,-1.19,-5.09
0.34,-0.83,-5.04
0.26,-1.30,-4.97
0.09,-1.04,-4.98
0.11,-1.09,-5.06
0.28,-1.22,-4.94
-0.21,-1.26,-5.14
0.28,-1.02,-4.96
0.09,-1.14,-5.06
0.23,-1.15,-4.99
0.15,-1.23,-5.03
0.18,-1.02,-5.14
0.31,-1.26,-4.99
-0.07,-1.08,-4.97
0.42,-1.19,-5.00
0.26,-1.17,-5.01
-0.07,-1.10,-5.03
0.10,-1.20,-4.98
-0.29,-1.10,-5.04
-0.44,-1.14,-5.01
0.17,-1.13,-5.06
0.15,-1.07,-5.01
0.16,-0.90,-5.04
0.26,-1.14,-5.01
0.23,-1.11,-5.05
0.21,-1.11,-5.04
0.23,-1.11,-5.03
0.20,-1.13,-5.03
0.20,-1.12,-5.08
0.20,-1.11,-5.03
0.24,-1.11,-5.03
0.20,-1.12,-5.01
0.20,-1.13,-5.02
0.18,-1.09,-5.03
0.21,-1.11,-5.04
0.04,-0.93,-5.03
0.27,-1.14,-5.02
0.06,-1.17,-5.09
0.18,-1.16,-5.06
0.18,-1.13,-5.04
0.17,-1.13,-5.02
0.19,-1.14,-5.01
0.17,-1.06,-4.95
0.21,-1.10,-5.06
0.22,-1.09,-5.04
0.20,-1.11,-5.04
0.21,-1.12,-5.05
0.29,-1.11,-4.93
0.31,-1.03,-5.10
0.04,-1.08,-5.06
-0.06,-0.58,-5.15
0.34,-1.26,-4.99
0.22,-1.17,-4.98
0.34,-0.96,-5.41
0.33,-1.09,-5.08
0.42,-1.05,-5.07
1.11,-0.84,-5.11
-0.02,-1.20,-5.10
0.51,-1.03,-5.07
0.28,-1.17,-4.95
0.49,-1.04,-5.07
